ID,TargetRLF1,TargetR1F1,TargetLLM
ID_TS_Aka_Gha_A3B1799D,wo sukuu ɔyarehwɛfo anaa akwahosan ho dwumayɛni ne wo bɛbɔ nna ho nsɛm ho nkɔmmɔ. Wobu LGBTQ+ sɛ mmara mma ho kwan wɔ Ghana.,wo sukuu ɔyarehwɛfo anaa akwahosan ho dwumayɛni ne wo bɛbɔ nna ho nsɛm ho nkɔmmɔ. Wobu LGBTQ+ sɛ mmara mma ho kwan wɔ Ghana.,wo sukuu ɔyarehwɛfo anaa akwahosan ho dwumayɛni ne wo bɛbɔ nna ho nsɛm ho nkɔmmɔ. Wobu LGBTQ+ sɛ mmara mma ho kwan wɔ Ghana.
ID_TS_Aka_Gha_1C80317F,"Ɔbabun bi kokoamsɛm anaa kokoamsɛm a wobu so wɔ nna ne awo akwahosan ho nhyehyɛe mu no betumi de nneɛma pii aba, a nea ɛka ho ne: Ahotoso a ɛyera wɔ ɔbabun ne akwahosan ho ɔyarehwɛfo ntam Nkɛntɛnso bɔne a ɛba ɔbabun no adwene ne nkate mu yiyedi so Animtiaabu anaa nyiyim a efi abusua, atipɛnfo, anaa mpɔtam hɔfo hɔ akwanside ahorow a ɛmma wontumi nnya akwahosan ho nhyehyɛe daakye esiane ehu anaa ahotoso a wonni nti Mmara ne abrabɔ pa ho nsunsuanso a ɛde ba akwahosan ho adwumayɛfo anaa ahyehyɛde ahorow a wohu sɛ ɛto kokoam nsɛm ho mmara anaa nhyehyɛe ahorow so","Ɔbabun bi kokoamsɛm anaa kokoamsɛm a wobu so wɔ nna ne awo akwahosan ho nhyehyɛe mu no betumi de nneɛma pii aba, a nea ɛka ho ne: Ahotoso a ɛyera wɔ ɔbabun ne akwahosan ho ɔyarehwɛfo ntam Nkɛntɛnso bɔne a ɛba ɔbabun no adwene ne nkate mu yiyedi so Animtiaabu anaa nyiyim a efi abusua, atipɛnfo, anaa mpɔtam hɔfo hɔ akwanside ahorow a ɛmma wontumi nnya akwahosan ho nhyehyɛe daakye esiane ehu anaa ahotoso a wonni nti Mmara ne abrabɔ pa ho nsunsuanso a ɛde ba akwahosan ho adwumayɛfo anaa ahyehyɛde ahorow a wohu sɛ ɛto kokoam nsɛm ho mmara anaa nhyehyɛe ahorow so","Ɔbabun bi kokoamsɛm anaa kokoamsɛm a wobu so wɔ nna ne awo akwahosan ho nhyehyɛe mu no betumi de nneɛma pii aba, a nea ɛka ho ne: Ahotoso a ɛyera wɔ ɔbabun ne akwahosan ho ɔyarehwɛfo ntam Nkɛntɛnso bɔne a ɛba ɔbabun no adwene ne nkate mu yiyedi so Animtiaabu anaa nyiyim a efi abusua, atipɛnfo, anaa mpɔtam hɔfo hɔ akwanside ahorow a ɛmma wontumi nnya akwahosan ho nhyehyɛe daakye esiane ehu anaa ahotoso a wonni nti Mmara ne abrabɔ pa ho nsunsuanso a ɛde ba akwahosan ho adwumayɛfo anaa ahyehyɛde ahorow a wohu sɛ ɛto kokoam nsɛm ho mmara anaa nhyehyɛe ahorow so"
ID_TS_Aka_Gha_06671AD1,"Ɛhia sɛ wɔn adwene ne apɔwmuden begygyina pintin (resilience), na wobedi dwuma a ɛbɛboa ma wɔatumi atena ase yie (coping skills), na bio so wɔehu sɛneɛ wɔbɛhwɛ wɔn apɔwmuden so yie (healthy habits) na ama wɔn adwene mu anya ahoɔden bere tenten.Nneyɛɛ bi te sɛ: apɔw-mu-nsakraeɛ (regular exercise), adwene a wɔde si baabi pɔtee so (mindfulness/meditation practice), abusua ne nnamfo ne nkitahodie a wɔbɛkora so, afei ehia sɛ wobnya aniso adehun a wobetumi ayɛ, na wɔahwehwɛ mmoa bere a ehia mu, ne akwan pa a wɔbɛfa so adi haw ahodoɔ so.","Ɛhia sɛ wɔn adwene ne apɔwmuden begygyina pintin (resilience), na wobedi dwuma a ɛbɛboa ma wɔatumi atena ase yie (coping skills), na bio so wɔehu sɛneɛ wɔbɛhwɛ wɔn apɔwmuden so yie (healthy habits) na ama wɔn adwene mu anya ahoɔden bere tenten.Nneyɛɛ bi te sɛ: apɔw-mu-nsakraeɛ (regular exercise), adwene a wɔde si baabi pɔtee so (mindfulness/meditation practice), abusua ne nnamfo ne nkitahodie a wɔbɛkora so, afei ehia sɛ wobnya aniso adehun a wobetumi ayɛ, na wɔahwehwɛ mmoa bere a ehia mu, ne akwan pa a wɔbɛfa so adi haw ahodoɔ so.","Ɛhia sɛ wɔn adwene ne apɔwmuden begygyina pintin (resilience), na wobedi dwuma a ɛbɛboa ma wɔatumi atena ase yie (coping skills), na bio so wɔehu sɛneɛ wɔbɛhwɛ wɔn apɔwmuden so yie (healthy habits) na ama wɔn adwene mu anya ahoɔden bere tenten.Nneyɛɛ bi te sɛ: apɔw-mu-nsakraeɛ (regular exercise), adwene a wɔde si baabi pɔtee so (mindfulness/meditation practice), abusua ne nnamfo ne nkitahodie a wɔbɛkora so, afei ehia sɛ wobnya aniso adehun a wobetumi ayɛ, na wɔahwehwɛ mmoa bere a ehia mu, ne akwan pa a wɔbɛfa so adi haw ahodoɔ so."
ID_TS_Aka_Gha_BDD640FB,"Mfaso a ɛtena hɔ kyɛ a ɛwɔ nneyɛe a ɛma wosusuw nneɛma ho a wɔde bɛka mmabun asetena ho no trɛw kɔ akyiri sen mmerantebere ne mmabaabere na ɛkɔ mpanyin afe so. Ɛdenam nneyɛe a ɛma mmabun nya ahokokwaw a ɛsom bo a ɛho hia ma wɔn ankasa ne wɔn adwuma mu nkonimdi. Saa nimdeɛ yi ma mmabun tumi di asetra mu nsɛm a ɛyɛ den so, di ntawntawdi ho dwuma yiye, na wotumi paw nneɛma a ɛfata wɔ wɔn asetra mu nneɛma ahorow mu, a abusuabɔ, nhomasua, adwuma, ne apomoden ka ho. Bio nso, sɛ obi nya su a ɛne sɛ obesusuw ne ho na wahwɛ ne ho a, ɛboa ma wotumi gyina tebea horow ano wɔ wɔn nkwa nna nyinaa mu, wonya yiyedi, na wonya abotɔyam, na ɛma ankorankoro tumi yɛ nsakrae wɔ ɔhaw mu na wodi yiye wɔ wiase a ɛsakra bere nyinaa mu.","Mfaso a ɛtena hɔ kyɛ a ɛwɔ nneyɛe a ɛma wosusuw nneɛma ho a wɔde bɛka mmabun asetena ho no trɛw kɔ akyiri sen mmerantebere ne mmabaabere na ɛkɔ mpanyin afe so. Ɛdenam nneyɛe a ɛma mmabun nya ahokokwaw a ɛsom bo a ɛho hia ma wɔn ankasa ne wɔn adwuma mu nkonimdi. Saa nimdeɛ yi ma mmabun tumi di asetra mu nsɛm a ɛyɛ den so, di ntawntawdi ho dwuma yiye, na wotumi paw nneɛma a ɛfata wɔ wɔn asetra mu nneɛma ahorow mu, a abusuabɔ, nhomasua, adwuma, ne apomoden ka ho. Bio nso, sɛ obi nya su a ɛne sɛ obesusuw ne ho na wahwɛ ne ho a, ɛboa ma wotumi gyina tebea horow ano wɔ wɔn nkwa nna nyinaa mu, wonya yiyedi, na wonya abotɔyam, na ɛma ankorankoro tumi yɛ nsakrae wɔ ɔhaw mu na wodi yiye wɔ wiase a ɛsakra bere nyinaa mu.","Mfaso a ɛtena hɔ kyɛ a ɛwɔ nneyɛe a ɛma wosusuw nneɛma ho a wɔde bɛka mmabun asetena ho no trɛw kɔ akyiri sen mmerantebere ne mmabaabere na ɛkɔ mpanyin afe so. Ɛdenam nneyɛe a ɛma mmabun nya ahokokwaw a ɛsom bo a ɛho hia ma wɔn ankasa ne wɔn adwuma mu nkonimdi. Saa nimdeɛ yi ma mmabun tumi di asetra mu nsɛm a ɛyɛ den so, di ntawntawdi ho dwuma yiye, na wotumi paw nneɛma a ɛfata wɔ wɔn asetra mu nneɛma ahorow mu, a abusuabɔ, nhomasua, adwuma, ne apomoden ka ho. Bio nso, sɛ obi nya su a ɛne sɛ obesusuw ne ho na wahwɛ ne ho a, ɛboa ma wotumi gyina tebea horow ano wɔ wɔn nkwa nna nyinaa mu, wonya yiyedi, na wonya abotɔyam, na ɛma ankorankoro tumi yɛ nsakrae wɔ ɔhaw mu na wodi yiye wɔ wiase a ɛsakra bere nyinaa mu."
ID_TS_Aka_Gha_46685257,Ɛma wosusuw nsɛm ho ansa na woayi bi. Nsɛm a ɛfa nipadua/asiane/dwumadie ho. Ɛbɔ wo ho ban fi asiane ho. Ɛboa ma wote wo ho nneɛma ase.,Ɛma wosusuw nsɛm ho ansa na woayi bi. Nsɛm a ɛfa nipadua/asiane/dwumadie ho. Ɛbɔ wo ho ban fi asiane ho. Ɛboa ma wote wo ho nneɛma ase.,Ɛma wosusuw nsɛm ho ansa na woayi bi. Nsɛm a ɛfa nipadua/asiane/dwumadie ho. Ɛbɔ wo ho ban fi asiane ho. Ɛboa ma wote wo ho nneɛma ase.
ID_TS_Aka_Gha_3EB13B90,"Mmabun betumi afa nsonsonoe a ɛwɔ amammerɛ ne nyamesom adwene mu wɔ nna ne awo akwahosan ho wɔ wɔn mmusua ne mpɔtam hɔ denam: Wɔhwehwɛ sɛ wɔbɛte wɔn mmusua ne mpɔtam hɔfo amammerɛ ne nyamesom gyidi ase denam nkɔmmɔbɔ a ɛda adi pefee na obu wom so. Adwene ahorow a wɔhwehwɛ mu na wɔhwehwɛ akwankyerɛ fi mpanyimfo, nyamesom akannifo, anaa amammerɛ mu afotufo a wogye wɔn di hɔ. Nna ne awo akwahosan ho nkyerɛkyerɛ a ɛka nnipa nyinaa bom na ɛfa amammerɛ ho a ɛkyerɛ obu ma gyidi ne gyinapɛn ahorow. Adwene a wɔbom yɛ na wosi gyinapɛn ahorow a wɔbom yɛ so dua, te sɛ hia a akwahosan, yiyedi, ne gyinaesi a wonya nimdeɛ ho hia.","Mmabun betumi afa nsonsonoe a ɛwɔ amammerɛ ne nyamesom adwene mu wɔ nna ne awo akwahosan ho wɔ wɔn mmusua ne mpɔtam hɔ denam: Wɔhwehwɛ sɛ wɔbɛte wɔn mmusua ne mpɔtam hɔfo amammerɛ ne nyamesom gyidi ase denam nkɔmmɔbɔ a ɛda adi pefee na obu wom so. Adwene ahorow a wɔhwehwɛ mu na wɔhwehwɛ akwankyerɛ fi mpanyimfo, nyamesom akannifo, anaa amammerɛ mu afotufo a wogye wɔn di hɔ. Nna ne awo akwahosan ho nkyerɛkyerɛ a ɛka nnipa nyinaa bom na ɛfa amammerɛ ho a ɛkyerɛ obu ma gyidi ne gyinapɛn ahorow. Adwene a wɔbom yɛ na wosi gyinapɛn ahorow a wɔbom yɛ so dua, te sɛ hia a akwahosan, yiyedi, ne gyinaesi a wonya nimdeɛ ho hia.","Mmabun betumi afa nsonsonoe a ɛwɔ amammerɛ ne nyamesom adwene mu wɔ nna ne awo akwahosan ho wɔ wɔn mmusua ne mpɔtam hɔ denam: Wɔhwehwɛ sɛ wɔbɛte wɔn mmusua ne mpɔtam hɔfo amammerɛ ne nyamesom gyidi ase denam nkɔmmɔbɔ a ɛda adi pefee na obu wom so. Adwene ahorow a wɔhwehwɛ mu na wɔhwehwɛ akwankyerɛ fi mpanyimfo, nyamesom akannifo, anaa amammerɛ mu afotufo a wogye wɔn di hɔ. Nna ne awo akwahosan ho nkyerɛkyerɛ a ɛka nnipa nyinaa bom na ɛfa amammerɛ ho a ɛkyerɛ obu ma gyidi ne gyinapɛn ahorow. Adwene a wɔbom yɛ na wosi gyinapɛn ahorow a wɔbom yɛ so dua, te sɛ hia a akwahosan, yiyedi, ne gyinaesi a wonya nimdeɛ ho hia."
ID_TS_Aka_Gha_392456DE,"Sɛ wɔyɛ nhwehwɛmu hu sɛ ɔwɔ nna mu yareɛ a, ebetumi ayɛ hu na ama wate aniwu anaa wɔatew ne ho. Ɛho hia sɛ wokae: Ɛnyɛ wo nkutoo:nna mu yareɛ abu so Ɛyɛ nea wobetumi asa: Sɛ wɔsa wo yare yiye a, wo ho bɛtɔ wo. Ɛnkyerɛkyerɛ wo mu: Woboro wo nna mu yareɛ a wɔahu no so.","Sɛ wɔyɛ nhwehwɛmu hu sɛ ɔwɔ nna mu yareɛ a, ebetumi ayɛ hu na ama wate aniwu anaa wɔatew ne ho. Ɛho hia sɛ wokae: Ɛnyɛ wo nkutoo:nna mu yareɛ abu so Ɛyɛ nea wobetumi asa: Sɛ wɔsa wo yare yiye a, wo ho bɛtɔ wo. Ɛnkyerɛkyerɛ wo mu: Woboro wo nna mu yareɛ a wɔahu no so.","Sɛ wɔyɛ nhwehwɛmu hu sɛ ɔwɔ nna mu yareɛ a, ebetumi ayɛ hu na ama wate aniwu anaa wɔatew ne ho. Ɛho hia sɛ wokae: Ɛnyɛ wo nkutoo:nna mu yareɛ abu so Ɛyɛ nea wobetumi asa: Sɛ wɔsa wo yare yiye a, wo ho bɛtɔ wo. Ɛnkyerɛkyerɛ wo mu: Woboro wo nna mu yareɛ a wɔahu no so."
ID_TS_Aka_Gha_23B8C1E9,"Sɛ worekamfo nsɛmti a ɛho hia a, ahobammɔ ho hia kɛse. Kae: Nsɛm a Ɛfa Kokoam Nsɛm Ho: Susu ho sɛ wode edin hunu bedi dwuma sɛ ɛma wo ho tɔ wo a. Hwɛ Yie wɔ Intanɛt so Ɔhaw Ho: Nea ɛyɛ awerɛhow no, ɛba saa. Bɔ nsɛm a ɛmfata ho amanneɛ na siw wɔn a wɔde di dwuma a wɔhaw wo no kwan. Nokwasɛm Hwɛ Ansa na Wobɛkyɛ: Bere nyinaa hwɛ sɛ nsɛm no yɛ nokware ansa na wode akyɛ wɔ Intanɛt so na woakwati sɛ wobɛtrɛw nsɛm a ɛnteɛ mu.","Sɛ worekamfo nsɛmti a ɛho hia a, ahobammɔ ho hia kɛse. Kae: Nsɛm a Ɛfa Kokoam Nsɛm Ho: Susu ho sɛ wode edin hunu bedi dwuma sɛ ɛma wo ho tɔ wo a. Hwɛ Yie wɔ Intanɛt so Ɔhaw Ho: Nea ɛyɛ awerɛhow no, ɛba saa. Bɔ nsɛm a ɛmfata ho amanneɛ na siw wɔn a wɔde di dwuma a wɔhaw wo no kwan. Nokwasɛm Hwɛ Ansa na Wobɛkyɛ: Bere nyinaa hwɛ sɛ nsɛm no yɛ nokware ansa na wode akyɛ wɔ Intanɛt so na woakwati sɛ wobɛtrɛw nsɛm a ɛnteɛ mu.","Sɛ worekamfo nsɛmti a ɛho hia a, ahobammɔ ho hia kɛse. Kae: Nsɛm a Ɛfa Kokoam Nsɛm Ho: Susu ho sɛ wode edin hunu bedi dwuma sɛ ɛma wo ho tɔ wo a. Hwɛ Yie wɔ Intanɛt so Ɔhaw Ho: Nea ɛyɛ awerɛhow no, ɛba saa. Bɔ nsɛm a ɛmfata ho amanneɛ na siw wɔn a wɔde di dwuma a wɔhaw wo no kwan. Nokwasɛm Hwɛ Ansa na Wobɛkyɛ: Bere nyinaa hwɛ sɛ nsɛm no yɛ nokware ansa na wode akyɛ wɔ Intanɛt so na woakwati sɛ wobɛtrɛw nsɛm a ɛnteɛ mu."
ID_TS_Aka_Gha_BC8960A9,"Nkitahodi yɛ ade titiriw, sɛ ɛsono adwene mpo a: Paw Bere a Ɛfata: Hwehwɛ bere a wo ho dwo na woyɛ kokoam bere a, mo baanu nyinaa betumi de w’adwene asi nkɔmmɔbɔ no so. Fa Asɛm a Wobom Fi Ase: Fa w’adwene si pɛ a wopɛ sɛ wohwɛ w’akwahosan so na wopaw nneɛma a ɛfata. Fa ""Me"" Nsɛm Di Dwuma: Sɛ anka wobɛbɔ asodi no sobo no, ka nsɛm te sɛ ""Mete nka sɛ me ho nyɛ me dɛ sɛ mɛka eyi ho asɛm, nanso..."" Da Obu: Sɛ wo ne no nyɛ adwene mpo a, tie wɔn adwene a wunmmu atɛn. Siesie Nneɛma a Wɔde Yɛ Adwuma: Ma wɛbsaet anaa nkratawa a nsɛm a wotumi de ho to so wom a wɔasiesie sɛ wobɛkyɛ sɛ ɛho hia a.","Nkitahodi yɛ ade titiriw, sɛ ɛsono adwene mpo a: Paw Bere a Ɛfata: Hwehwɛ bere a wo ho dwo na woyɛ kokoam bere a, mo baanu nyinaa betumi de w’adwene asi nkɔmmɔbɔ no so. Fa Asɛm a Wobom Fi Ase: Fa w’adwene si pɛ a wopɛ sɛ wohwɛ w’akwahosan so na wopaw nneɛma a ɛfata. Fa ""Me"" Nsɛm Di Dwuma: Sɛ anka wobɛbɔ asodi no sobo no, ka nsɛm te sɛ ""Mete nka sɛ me ho nyɛ me dɛ sɛ mɛka eyi ho asɛm, nanso..."" Da Obu: Sɛ wo ne no nyɛ adwene mpo a, tie wɔn adwene a wunmmu atɛn. Siesie Nneɛma a Wɔde Yɛ Adwuma: Ma wɛbsaet anaa nkratawa a nsɛm a wotumi de ho to so wom a wɔasiesie sɛ wobɛkyɛ sɛ ɛho hia a.","Nkitahodi yɛ ade titiriw, sɛ ɛsono adwene mpo a: Paw Bere a Ɛfata: Hwehwɛ bere a wo ho dwo na woyɛ kokoam bere a, mo baanu nyinaa betumi de w’adwene asi nkɔmmɔbɔ no so. Fa Asɛm a Wobom Fi Ase: Fa w’adwene si pɛ a wopɛ sɛ wohwɛ w’akwahosan so na wopaw nneɛma a ɛfata. Fa ""Me"" Nsɛm Di Dwuma: Sɛ anka wobɛbɔ asodi no sobo no, ka nsɛm te sɛ ""Mete nka sɛ me ho nyɛ me dɛ sɛ mɛka eyi ho asɛm, nanso..."" Da Obu: Sɛ wo ne no nyɛ adwene mpo a, tie wɔn adwene a wunmmu atɛn. Siesie Nneɛma a Wɔde Yɛ Adwuma: Ma wɛbsaet anaa nkratawa a nsɛm a wotumi de ho to so wom a wɔasiesie sɛ wobɛkyɛ sɛ ɛho hia a."
ID_TS_Aka_Gha_1A3D1FA7,"Ankorɛankorɛ asɛm a wɔka: Ka wo suahunu a ɛfa mmaninyɛ ne mmaa-yɛ akwahosan ne ho kwan ho asɛm kyerɛ nnipa de ma wɔanya nimdeɛ, na kã nneɛma a nkurɔfoɔ ka a ɛnyɛ nokware no gu.Nnwuma ne nkrataa a wɔyɛ: Yɛ nneɛma na kyekyɛ nkitahodie mfidie so nsɛm a ɛde nimdeɛ pa, ne nea ɛka obiara bɔ mu, ne nea ɛhyɛ mmaninyɛ ne mmaayɛ ho nkuran ba pɛpɛɛpɛ.Akwan ahorow a wɔde bɔ ho dawuro mu kyɛfa: Di kan anaa kɔka nneyɛeɛ pa ho mmoa akuo (advocacy campaigns) ho na kanyan nkitahodie mfidie ne mmara-hyɛfoɔ ama wɔayɛ nsɛm a ɛfa akwahosan ho yie.Sesei nkitahodie mfidie (Social media) a wɔde di dwuma: Fa Facebook, TikTok, Instagram ne nea ɛkekaho di dwuma de ma nnipa nne so, kyekyɛ nimdeɛ mmoa nkrataa mu, na hwehwɛ nsakyeraeɛ pa wɔ sɛnea nkitahodie mfidie ka mmaninyɛ ne mmaayɛ ho nsɛm.","Ankorɛankorɛ asɛm a wɔka: Ka wo suahunu a ɛfa mmaninyɛ ne mmaa-yɛ akwahosan ne ho kwan ho asɛm kyerɛ nnipa de ma wɔanya nimdeɛ, na kã nneɛma a nkurɔfoɔ ka a ɛnyɛ nokware no gu.Nnwuma ne nkrataa a wɔyɛ: Yɛ nneɛma na kyekyɛ nkitahodie mfidie so nsɛm a ɛde nimdeɛ pa, ne nea ɛka obiara bɔ mu, ne nea ɛhyɛ mmaninyɛ ne mmaayɛ ho nkuran ba pɛpɛɛpɛ.Akwan ahorow a wɔde bɔ ho dawuro mu kyɛfa: Di kan anaa kɔka nneyɛeɛ pa ho mmoa akuo (advocacy campaigns) ho na kanyan nkitahodie mfidie ne mmara-hyɛfoɔ ama wɔayɛ nsɛm a ɛfa akwahosan ho yie.Sesei nkitahodie mfidie (Social media) a wɔde di dwuma: Fa Facebook, TikTok, Instagram ne nea ɛkekaho di dwuma de ma nnipa nne so, kyekyɛ nimdeɛ mmoa nkrataa mu, na hwehwɛ nsakyeraeɛ pa wɔ sɛnea nkitahodie mfidie ka mmaninyɛ ne mmaayɛ ho nsɛm.","Ankorɛankorɛ asɛm a wɔka: Ka wo suahunu a ɛfa mmaninyɛ ne mmaa-yɛ akwahosan ne ho kwan ho asɛm kyerɛ nnipa de ma wɔanya nimdeɛ, na kã nneɛma a nkurɔfoɔ ka a ɛnyɛ nokware no gu.Nnwuma ne nkrataa a wɔyɛ: Yɛ nneɛma na kyekyɛ nkitahodie mfidie so nsɛm a ɛde nimdeɛ pa, ne nea ɛka obiara bɔ mu, ne nea ɛhyɛ mmaninyɛ ne mmaayɛ ho nkuran ba pɛpɛɛpɛ.Akwan ahorow a wɔde bɔ ho dawuro mu kyɛfa: Di kan anaa kɔka nneyɛeɛ pa ho mmoa akuo (advocacy campaigns) ho na kanyan nkitahodie mfidie ne mmara-hyɛfoɔ ama wɔayɛ nsɛm a ɛfa akwahosan ho yie.Sesei nkitahodie mfidie (Social media) a wɔde di dwuma: Fa Facebook, TikTok, Instagram ne nea ɛkekaho di dwuma de ma nnipa nne so, kyekyɛ nimdeɛ mmoa nkrataa mu, na hwehwɛ nsakyeraeɛ pa wɔ sɛnea nkitahodie mfidie ka mmaninyɛ ne mmaayɛ ho nsɛm."
